Chr_Pos_Ref/Alt,DeltaSVMScore,PWMFlankingScore,Label
0,-0.443676563088,-9.58444527108,1
1,-0.566200627971,-14.6951833865,1
2,0.0956193256589,-15.0368626837,1
3,-0.272168295689,-4.25558220589,0
4,-0.618421712786,-19.1966286094,1
5,0.115159204404,-8.64285522141,0
6,0.724681364332,-13.1424714224,1
7,-0.336156169068,-11.426080756,0
8,0.941588174322,-15.890818581,1
9,-0.138165434299,-6.19610814831,1
10,0.112867570744,-12.0117362451,0
11,0.0722960227042,-2.13775430286,0
12,0.619808881157,-14.0971295067,1
13,0.796160929486,-18.08415162,1
14,-0.462562098592,-12.9985174516,0
15,-0.533636796923,-3.01568545718,1
16,-0.848253098269,-1.26440372527,1
17,-0.887396476842,-7.90197018992,0
18,0.769245020457,-13.1658832507,0
19,0.387869810003,-17.8138081653,1
20,-0.769816128572,-5.69501875489,1
21,-0.743343799679,-18.7609828393,0
22,-0.836114191797,-5.46707254886,0
23,0.950278601738,-13.5171961846,0
24,-0.420706844688,-1.47963786585,1
25,0.809505629973,-13.4366297681,1
26,0.84134494263,-14.0857905726,0
27,-0.398450015847,-6.13767745799,1
28,0.0225004816277,-2.06809308464,0
29,-0.23217054779,-14.2525411906,1
30,-0.383162272856,-12.7507831642,0
31,0.315004165812,-11.3618343467,1
32,0.309816413983,-15.2687560953,1
33,-0.465500018019,-17.4801249365,1
34,0.130447841234,-7.56242179207,0
35,-0.781999838229,-1.68691543897,0
36,0.586750104492,-13.0521018001,0
37,0.911231243754,-14.4033792428,1
38,-0.502691149466,-19.1830540871,0
39,0.41213938786,-7.86837214579,0
40,0.94634722585,-4.71793632164,1
41,-0.377303589865,-13.1325549286,0
42,-0.770970457591,-1.07898074575,1
43,-0.453504795693,-2.65917824501,1
44,0.414313219216,-18.8009406717,1
45,0.45742559522,-19.4366068547,0
46,-0.757721078747,-6.40205479807,1
47,-0.658102483761,-17.5915862635,0
48,0.0502580614803,-2.77231468388,1
49,-0.667475975941,-1.32136069237,0
50,0.77324052673,-8.66058153297,1
51,-0.244368968263,-15.0809786442,1
52,0.184345663885,-19.0431494581,0
53,0.222566503423,-10.4528588604,0
54,0.485860462637,-6.14816314768,1
55,-0.283429761863,-12.4391171665,1
56,0.919274551369,-11.7032927947,1
57,-0.283867456005,-3.47219629588,1
58,-0.974509047989,-13.1511152431,0
59,0.511631730239,-5.55945045627,1
60,-0.868408210158,-16.8796547961,0
61,-0.510151127162,-4.72518317833,1
62,-0.825940864928,-10.3618295035,1
63,0.644779036776,-14.1068736392,1
64,-0.0885872017574,-1.58721601959,0
65,0.787731901506,-3.7572073053,1
66,0.308312007848,-11.3967694334,1
67,0.237266342149,-11.4841138651,1
68,-0.747902627099,-6.2481210029,1
69,-0.366387143531,-17.3113742555,0
70,0.316947496855,-12.6632897222,1
71,0.151118510796,-4.35110911841,1
72,-0.861237463359,-15.8402976334,0
73,-0.626120766431,-13.3159797583,0
74,0.679645632925,-12.0265804487,0
75,0.586336237881,-12.5366179381,1
76,0.777017654711,-7.13321368129,1
77,-0.961690845905,-1.95012074393,0
78,0.141602871494,-16.99316198,0
79,0.932071780942,-8.04227454877,0
80,0.0939185841064,-1.46821539544,0
81,0.471085987986,-5.26163803395,1
82,0.0110070977655,-14.561321597,0
83,0.0878446467785,-6.84613641619,1
84,-0.646695221428,-18.5529817978,0
85,0.867949250549,-5.07070754053,1
86,0.252913879829,-16.1041954293,0
87,-0.630239458667,-10.2885982144,0
88,0.709628322436,-3.34813246693,1
89,0.462267210775,-10.782135289,1
90,0.85992447797,-1.59387043423,0
91,-0.963004659587,-6.07904296584,1
